year,term,value,source,corpus,smoothing,case_sensitive,query_group
1963,artificial ingredients,1.0855920606900327e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1964,artificial ingredients,9.600101408269168e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1965,artificial ingredients,3.5072722504025933e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1966,artificial ingredients,1.2283649375444128e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1967,artificial ingredients,6.041775413301309e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1968,artificial ingredients,5.88903092957338e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1969,artificial ingredients,1.0313849774234995e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1970,artificial ingredients,2.093800126334866e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1971,artificial ingredients,1.5985929247008812e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1972,artificial ingredients,2.5871072228955683e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1973,artificial ingredients,2.3379304187054473e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1974,artificial ingredients,2.902105236679553e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1975,artificial ingredients,1.843295516223975e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1976,artificial ingredients,5.540065309284081e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1977,artificial ingredients,6.5343836452846915e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1978,artificial ingredients,5.955460291584558e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1979,artificial ingredients,6.5022443263007546e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1980,artificial ingredients,1.005809603660257e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1981,artificial ingredients,1.002034035607613e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1982,artificial ingredients,1.3978036440126518e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1983,artificial ingredients,1.0705578042113917e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1984,artificial ingredients,1.0848770215510228e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1985,artificial ingredients,1.412578787274299e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1986,artificial ingredients,1.4373579146353954e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1987,artificial ingredients,1.4674398973735236e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1988,artificial ingredients,1.1114817344282102e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1989,artificial ingredients,1.1723252882345214e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1990,artificial ingredients,9.966881403533634e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1991,artificial ingredients,1.0513720560823003e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1992,artificial ingredients,9.607857901633432e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1993,artificial ingredients,1.3667548592888323e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1994,artificial ingredients,1.016812067877737e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1995,artificial ingredients,1.0952853762846715e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1996,artificial ingredients,8.846890803271279e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1997,artificial ingredients,1.2537506907661644e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1998,artificial ingredients,1.1555870427226722e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1999,artificial ingredients,1.2238034474698622e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2000,artificial ingredients,1.3125152409365626e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2001,artificial ingredients,1.0480838884274757e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2002,artificial ingredients,1.2265848226000742e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2003,artificial ingredients,1.2490381173790865e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2004,artificial ingredients,1.4100794726301658e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2005,artificial ingredients,1.3984995661520117e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2006,artificial ingredients,1.4791867286589877e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2007,artificial ingredients,1.9040135385006707e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2008,artificial ingredients,1.9919372873378194e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2009,artificial ingredients,2.7161898008554175e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2010,artificial ingredients,2.3358864398304036e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2011,artificial ingredients,2.2023142844107557e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2012,artificial ingredients,2.451267183678496e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2013,artificial ingredients,2.0041960646643986e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2014,artificial ingredients,1.9169034748411917e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2015,artificial ingredients,2.7029140092782455e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2016,artificial ingredients,2.927097131344425e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2017,artificial ingredients,2.0806499995140726e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2018,artificial ingredients,1.9524636976631093e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
2019,artificial ingredients,2.398912374301787e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1800,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1801,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1802,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1803,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1804,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1805,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1806,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1807,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1808,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1809,artificial flavor,1.9145884877502795e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1810,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1811,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1812,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1813,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
