ngram	year	match_count	volume_count	ngram_order	corpus_release	source_shard	wide_field_index
forevermore	1980	974	709	1	googlebooks-eng-20200217	1-00018-of-00024.gz	262
forevermore	1981	991	739	1	googlebooks-eng-20200217	1-00018-of-00024.gz	263
forevermore	1982	978	713	1	googlebooks-eng-20200217	1-00018-of-00024.gz	264
forevermore	1983	1115	805	1	googlebooks-eng-20200217	1-00018-of-00024.gz	265
forevermore	1984	1059	802	1	googlebooks-eng-20200217	1-00018-of-00024.gz	266
forevermore	1985	1092	817	1	googlebooks-eng-20200217	1-00018-of-00024.gz	267
forevermore	1986	1013	753	1	googlebooks-eng-20200217	1-00018-of-00024.gz	268
forevermore	1987	1299	895	1	googlebooks-eng-20200217	1-00018-of-00024.gz	269
forevermore	1988	1256	909	1	googlebooks-eng-20200217	1-00018-of-00024.gz	270
forevermore	1989	1376	964	1	googlebooks-eng-20200217	1-00018-of-00024.gz	271
forevermore	1990	1426	1016	1	googlebooks-eng-20200217	1-00018-of-00024.gz	272
forevermore	1991	1507	998	1	googlebooks-eng-20200217	1-00018-of-00024.gz	273
forevermore	1992	1434	1015	1	googlebooks-eng-20200217	1-00018-of-00024.gz	274
forevermore	1993	1779	1131	1	googlebooks-eng-20200217	1-00018-of-00024.gz	275
forevermore	1994	1439	1131	1	googlebooks-eng-20200217	1-00018-of-00024.gz	276
forevermore	1995	1664	1179	1	googlebooks-eng-20200217	1-00018-of-00024.gz	277
forevermore	1996	1805	1341	1	googlebooks-eng-20200217	1-00018-of-00024.gz	278
forevermore	1997	1823	1268	1	googlebooks-eng-20200217	1-00018-of-00024.gz	279
forevermore	1998	1879	1380	1	googlebooks-eng-20200217	1-00018-of-00024.gz	280
forevermore	1999	2087	1496	1	googlebooks-eng-20200217	1-00018-of-00024.gz	281
forevermore	2000	2773	1890	1	googlebooks-eng-20200217	1-00018-of-00024.gz	282
forevermore	2001	2701	1946	1	googlebooks-eng-20200217	1-00018-of-00024.gz	283
forevermore	2002	2963	2104	1	googlebooks-eng-20200217	1-00018-of-00024.gz	284
forevermore	2003	3821	2517	1	googlebooks-eng-20200217	1-00018-of-00024.gz	285
forevermore	2004	3977	2579	1	googlebooks-eng-20200217	1-00018-of-00024.gz	286
forevermore	2005	4477	2563	1	googlebooks-eng-20200217	1-00018-of-00024.gz	287
forevermore	2006	4103	2756	1	googlebooks-eng-20200217	1-00018-of-00024.gz	288
forevermore	2007	4713	2946	1	googlebooks-eng-20200217	1-00018-of-00024.gz	289
forevermore	2008	5285	3540	1	googlebooks-eng-20200217	1-00018-of-00024.gz	290
forevermore	2009	5801	3715	1	googlebooks-eng-20200217	1-00018-of-00024.gz	291
forevermore	2010	6145	3655	1	googlebooks-eng-20200217	1-00018-of-00024.gz	292
forevermore	2011	6373	3815	1	googlebooks-eng-20200217	1-00018-of-00024.gz	293
forevermore	2012	8109	4857	1	googlebooks-eng-20200217	1-00018-of-00024.gz	294
forevermore	2013	7320	4432	1	googlebooks-eng-20200217	1-00018-of-00024.gz	295
forevermore	2014	7794	4525	1	googlebooks-eng-20200217	1-00018-of-00024.gz	296
forevermore	2015	6460	3887	1	googlebooks-eng-20200217	1-00018-of-00024.gz	297
forevermore	2016	5435	3499	1	googlebooks-eng-20200217	1-00018-of-00024.gz	298
forevermore	2017	8365	3920	1	googlebooks-eng-20200217	1-00018-of-00024.gz	299
forevermore	2018	6611	4119	1	googlebooks-eng-20200217	1-00018-of-00024.gz	300
forevermore	2019	5994	3669	1	googlebooks-eng-20200217	1-00018-of-00024.gz	301
